year,month,customer class,value
2023,2,OCOMM,66
2023,2,ORES,16
2023,2,POTABLE IRR,9
2023,2,TOTAL IRES TIERS,12909
2023,2,TOTAL IRR (POTABLE + NP IRR),9
2023,3,ICOMM,16716
2023,3,IMULT,12975
2023,3,NP IRR,0
2023,3,OCOMM,81
2023,3,ORES,14
2023,3,POTABLE IRR,25
2023,3,TOTAL IRES TIERS,12096
2023,3,TOTAL IRR (POTABLE + NP IRR),25
2023,4,ICOMM,18049
2023,4,IMULT,14127
2023,4,NP IRR,0
2023,4,OCOMM,65
2023,4,ORES,19
2023,4,POTABLE IRR,583
2023,4,TOTAL IRES TIERS,13825
2023,4,TOTAL IRR (POTABLE + NP IRR),583
2023,5,ICOMM,18966
2023,5,IMULT,12780
2023,5,NP IRR,1183
2023,5,OCOMM,41
2023,5,ORES,47
2023,5,POTABLE IRR,4652
2023,5,TOTAL IRES TIERS,16024
2023,5,TOTAL IRR (POTABLE + NP IRR),5835
2023,6,ICOMM,22408
2023,6,IMULT,12448
2023,6,NP IRR,2385
2023,6,OCOMM,58
2023,6,ORES,53
2023,6,POTABLE IRR,9532
2023,6,TOTAL IRES TIERS,20587
2023,6,TOTAL IRR (POTABLE + NP IRR),11917
2023,7,ICOMM,26905
2023,7,IMULT,13986
2023,7,NP IRR,5801
2023,7,OCOMM,74
2023,7,ORES,55
2023,7,POTABLE IRR,14719
2023,7,TOTAL IRES TIERS,29118
2023,7,TOTAL IRR (POTABLE + NP IRR),20520
2023,8,ICOMM,28616
2023,8,IMULT,16427
2023,8,NP IRR,9807
2023,8,OCOMM,87
2023,8,ORES,87
2023,8,POTABLE IRR,24184
2023,8,TOTAL IRES TIERS,39132
2023,8,TOTAL IRR (POTABLE + NP IRR),33991
2023,9,ICOMM,30249
2023,9,IMULT,18964
2023,9,NP IRR,6741
2023,9,OCOMM,89
2023,9,ORES,79
2023,9,POTABLE IRR,23077
2023,9,TOTAL IRES TIERS,41551
2023,9,TOTAL IRR (POTABLE + NP IRR),29818
2023,10,ICOMM,25279
2023,10,IMULT,16789
2023,10,NP IRR,4501
2023,10,OCOMM,82
2023,10,ORES,69
2023,10,POTABLE IRR,13821
2023,10,TOTAL IRES TIERS,32171
2023,10,TOTAL IRR (POTABLE + NP IRR),18322
2023,11,ICOMM,20021
2023,11,IMULT,14540
2023,11,NP IRR,317
2023,11,OCOMM,50
2023,11,ORES,28
2023,11,POTABLE IRR,1823
2023,11,TOTAL IRES TIERS,16510
2023,11,TOTAL IRR (POTABLE + NP IRR),2140
2023,12,ICOMM,16800
2023,12,IMULT,12688
2023,12,NP IRR,0
2023,12,OCOMM,44
2023,12,ORES,20
2023,12,POTABLE IRR,69
2023,12,TOTAL IRES TIERS,12363
2023,12,TOTAL IRR (POTABLE + NP IRR),69
2024,1,ICOMM,15305
2024,1,IMULT,12774
2024,1,NP IRR,0
2024,1,OCOMM,54
2024,1,ORES,24
2024,1,POTABLE IRR,67
2024,1,TOTAL IRES TIERS,13526
2024,1,TOTAL IRR (POTABLE + NP IRR),67
2024,2,ICOMM,16191
2024,2,IMULT,14052
2024,2,NP IRR,0
2024,2,OCOMM,66
2024,2,ORES,23
2024,2,POTABLE IRR,301
2024,2,TOTAL IRES TIERS,12836
2024,2,TOTAL IRR (POTABLE + NP IRR),301
2024,3,ICOMM,16363
2024,3,IMULT,13684
2024,3,NP IRR,0
2024,3,OCOMM,65
2024,3,ORES,18
2024,3,POTABLE IRR,209
2024,3,TOTAL IRES TIERS,12535
2024,3,TOTAL IRR (POTABLE + NP IRR),209
2024,4,ICOMM,16357
2024,4,IMULT,13332
2024,4,NP IRR,485
2024,4,OCOMM,56
2024,4,ORES,18
2024,4,POTABLE IRR,592
2024,4,TOTAL IRES TIERS,12792
2024,4,TOTAL IRR (POTABLE + NP IRR),1077
2024,5,ICOMM,17952
2024,5,IMULT,13446
2024,5,NP IRR,2250
2024,5,OCOMM,49
2024,5,ORES,15
2024,5,POTABLE IRR,3693
2024,5,TOTAL IRES TIERS,14824
2024,5,TOTAL IRR (POTABLE + NP IRR),5943
2024,6,ICOMM,26240
2024,6,IMULT,17183
2024,6,NP IRR,10770
2024,6,OCOMM,55
2024,6,ORES,80
2024,6,POTABLE IRR,18801
2024,6,TOTAL IRES TIERS,39880
2024,6,TOTAL IRR (POTABLE + NP IRR),29571
2024,7,ICOMM,27830
2024,7,IMULT,17333
2024,7,NP IRR,14330
2024,7,OCOMM,41
2024,7,ORES,94
2024,7,POTABLE IRR,27040
2024,7,TOTAL IRES TIERS,49364
2024,7,TOTAL IRR (POTABLE + NP IRR),41370
2024,8,ICOMM,30314
2024,8,IMULT,17921
2024,8,NP IRR,16718
2024,8,OCOMM,72
2024,8,ORES,111
2024,8,POTABLE IRR,27241
2024,8,TOTAL IRES TIERS,47310
2024,8,TOTAL IRR (POTABLE + NP IRR),43959
2024,9,ICOMM,30514
2024,9,IMULT,18986
2024,9,NP IRR,9877
2024,9,OCOMM,58
2024,9,ORES,97
2024,9,POTABLE IRR,24714
2024,9,TOTAL IRES TIERS,44769
2024,9,TOTAL IRR (POTABLE + NP IRR),34591
2024,10,ICOMM,24680
2024,10,IMULT,16109
2024,10,NP IRR,5390
2024,10,OCOMM,57
2024,10,ORES,78
2024,10,POTABLE IRR,15611
2024,10,TOTAL IRES TIERS,35719
2024,10,TOTAL IRR (POTABLE + NP IRR),21001
2024,11,ICOMM,18170
2024,11,IMULT,14407
2024,11,NP IRR,320
2024,11,OCOMM,42
2024,11,ORES,30
2024,11,POTABLE IRR,2410
2024,11,TOTAL IRES TIERS,18018
2024,11,TOTAL IRR (POTABLE + NP IRR),2730
2024,12,ICOMM,16041
2024,12,IMULT,13177
2024,12,NP IRR,0
2024,12,OCOMM,40
2024,12,ORES,26
2024,12,POTABLE IRR,759
2024,12,TOTAL IRES TIERS,13119
2024,12,TOTAL IRR (POTABLE + NP IRR),759
2025,1,ICOMM,14491
2025,1,IMULT,11061
2025,1,NP IRR,0
2025,1,OCOMM,41
2025,1,ORES,18
2025,1,POTABLE IRR,297
2025,1,TOTAL IRES TIERS,12702
2025,1,TOTAL IRR (POTABLE + NP IRR),297
2025,2,ICOMM,17504
2025,2,IMULT,14024
2025,2,NP IRR,0
2025,2,OCOMM,56
2025,2,ORES,19
2025,2,POTABLE IRR,210
2025,2,TOTAL IRES TIERS,13553
2025,2,TOTAL IRR (POTABLE + NP IRR),210
2025,3,ICOMM,16226
2025,3,IMULT,12293
2025,3,NP IRR,0
2025,3,OCOMM,55
2025,3,ORES,17
2025,3,POTABLE IRR,194
2025,3,TOTAL IRES TIERS,11753
2025,3,TOTAL IRR (POTABLE + NP IRR),194
2025,4,ICOMM,16724
2025,4,IMULT,12517
2025,4,NP IRR,608
2025,4,OCOMM,51
2025,4,ORES,15
2025,4,POTABLE IRR,881
2025,4,TOTAL IRES TIERS,13294
2025,4,TOTAL IRR (POTABLE + NP IRR),1489
2025,5,ICOMM,19362
2025,5,IMULT,12606
2025,5,NP IRR,1231
2025,5,OCOMM,54
2025,5,ORES,18
2025,5,POTABLE IRR,4878
2025,5,TOTAL IRES TIERS,17032
2025,5,TOTAL IRR (POTABLE + NP IRR),6109
2025,6,ICOMM,24665
2025,6,IMULT,13879
2025,6,NP IRR,4726
2025,6,OCOMM,44
2025,6,ORES,50
2025,6,POTABLE IRR,13440
2025,6,TOTAL IRES TIERS,28419
2025,6,TOTAL IRR (POTABLE + NP IRR),18166
2025,7,ICOMM,26622
2025,7,IMULT,15365
2025,7,NP IRR,8056
2025,7,OCOMM,44
2025,7,ORES,58
2025,7,POTABLE IRR,24538
2025,7,TOTAL IRES TIERS,44101
2025,7,TOTAL IRR (POTABLE + NP IRR),32594
2025,8,ICOMM,30564
2025,8,IMULT,16760
2025,8,NP IRR,13
2025,8,OCOMM,30
2025,8,ORES,91
2025,8,POTABLE IRR,23696
2025,8,TOTAL IRES TIERS,47838
2025,8,TOTAL IRR (POTABLE + NP IRR),23709
2025,9,ICOMM,30625
2025,9,IMULT,18301
2025,9,NP IRR,21667
2025,9,OCOMM,49
2025,9,ORES,85
2025,9,POTABLE IRR,23762
